"A","B","C","G","","","","","",""
"29968","48338","31693","1","345.94","3.75","5.84","32.51","",""
"29968","48036","31693","1","346.82","5.15","5.90","32.64","",""
"29968","48036","31304","1","346.07","3.40","5.82","32.73","",""
"29968","48036","31304","1","345.33","3.22","5.96","32.76","",""
"29652","48036","31304","1","345.15","4.26","5.97","32.84","",""
"29652","48489","31304","1","345.07","3.46","6.25","32.97","",""
"29652","48489","31734","1","344.93","3.40","6.26","33.06","",""
"29652","48489","31734","1","345.11","3.40","6.29","33.09","",""
"30178","48489","31734","1","345.00","3.08","6.31","33.18","",""
"30178","47856","31734","1","344.31","2.66","6.29","33.31","",""
"30178","47856","31752","1","344.46","2.97","6.36","33.40","",""
"30178","47856","31752","1","344.17","3.13","6.45","33.43","",""
"30056","47856","31752","1","344.70","3.49","6.63","33.51","",""
"30056","46386","31752","1","344.35","3.17","6.94","33.64","",""
"30056","46386","31353","1","344.84","3.08","7.07","33.73","",""
"30056","46386","31353","1","345.38","3.06","7.08","33.76","",""
"29639","46386","31353","1","345.54","3.46","6.99","33.84","",""
"29639","48418","31353","1","345.70","3.98","7.13","33.97","",""
"29639","48418","32195","1","345.10","3.68","7.26","34.06","",""
"29639","48418","32195","1","344.71","3.57","7.36","34.09","",""
"30080","48418","32195","1","344.70","3.51","7.42","34.18","",""
"30080","48146","32195","1","345.00","2.68","7.71","34.31","",""
"30080","48146","31955","1","345.04","2.56","7.93","34.40","",""
"30080","48146","31955","1","345.13","2.47","7.97","34.43","",""
"29701","48146","31955","1","345.25","2.22","8.09","34.51","",""
"29701","48443","31955","1","344.78","2.52","8.34","34.64","",""
"29701","48443","31769","1","344.70","2.44","8.70","34.73","",""
"29701","48443","31769","1","344.85","2.39","8.79","34.76","",""
"29961","48443","31769","1","345.21","2.48","9.15","34.85","",""
"29961","47983","31769","1","344.32","2.05","9.25","34.98","",""
"29961","47983","31898","1","344.02","2.16","9.28","35.07","",""
"29961","47983","31898","1","344.05","2.33","9.31","35.10","",""
"29894","47983","31898","1","343.83","2.76","9.24","35.18","",""
"29894","48551","31898","1","343.68","2.49","9.34","35.31","",""
"29894","48551","31921","1","343.68","2.62","9.44","35.40","",""
"29894","48551","31921","1","343.84","2.59","9.49","35.43","",""
"30204","48551","31921","1","343.90","2.74","9.72","35.52","",""
"30204","47319","31921","1","344.25","2.59","9.96","35.64","",""
"30204","47319","32604","1","344.32","2.62","10.17","35.74","",""
"30204","47319","32604","1","344.34","2.61","10.22","35.77","",""
"29728","47319","32604","1","344.76","2.58","10.40","35.85","",""
"29728","48316","32604","1","345.21","2.24","10.62","35.98","",""
"29728","48316","31942","1","344.97","2.47","10.66","36.07","",""
"29728","48316","31942","1","344.94","2.42","10.68","36.10","",""
"30211","48316","31942","1","345.18","2.49","10.84","36.19","",""
"30211","46874","31942","1","345.69","2.79","11.00","36.31","",""
"30211","46874","32051","1","345.90","2.62","11.22","36.41","",""
"30211","46874","32051","1","345.76","2.52","11.27","36.43","",""
"29648","46874","32051","1","345.75","2.47","11.46","36.52","",""
"29648","48566","32051","1","344.95","2.52","11.64","36.65","",""
"29648","48566","31759","1","344.78","2.61","11.83","36.74","",""
"29648","48566","31759","1","344.90","2.59","11.89","36.77","",""
"29758","48566","31759","1","345.08","2.68","12.11","36.86","",""
"29758","47845","31759","1","345.31","3.08","12.31","36.98","",""
"29758","47845","31941","1","345.25","3.01","12.51","37.08","",""
"29758","47845","31941","1","345.23","2.99","12.54","37.10","",""
"29666","47845","31941","1","345.32","2.60","12.77","37.19","",""
"29666","48399","31941","1","345.55","2.55","13.16","37.32","",""
"29666","48399","31665","1","345.52","2.30","13.33","37.41","",""
"29666","48399","31665","1","345.26","2.29","13.40","37.44","",""
"29880","48399","31665","1","345.17","2.28","13.53","37.53","",""
"29880","48059","31665","1","344.89","1.35","14.12","37.65","",""
"29880","48059","31454","1","344.90","1.80","14.30","37.74","",""
"29880","48059","31454","1","344.77","2.05","14.36","37.77","",""
"29774","48059","31454","1","345.37","1.81","14.73","37.86","",""
"29774","48179","31454","1","344.94","1.88","14.75","37.99","",""
"29774","48179","32353","1","345.18","2.44","14.76","38.08","",""
"29774","48179","32353","1","345.21","2.54","14.74","38.11","",""
"29947","48179","32353","1","345.21","2.52","14.98","38.20","",""
"29947","47943","32353","1","345.33","3.06","15.16","38.32","",""
"29947","47943","31971","1","345.65","3.49","15.27","38.42","",""
"29947","47943","31971","1","345.49","3.57","15.32","38.44","",""
"29598","47943","31971","1","345.23","2.18","15.29","38.53","",""
"29598","45752","31971","1","345.07","3.10","14.70","38.65","",""
"29598","45752","31393","1","344.99","3.32","14.92","38.74","",""
"29598","45752","31393","1","345.45","3.51","14.94","38.77","",""
"29606","45752","31393","1","346.59","3.83","15.47","38.86","",""
"29606","48318","31393","1","345.52","5.20","15.27","38.99","",""
