"A","B","C","G"
"31662","45470","51449","0"
"31662","45470","52220","0"
"31662","45470","52220","0"
"31750","45470","52220","0"
"31750","45146","52220","0"
"31750","45146","52565","0"
"31750","45146","52565","0"
"31567","45146","52565","0"
"31567","44982","52565","0"
"31567","44982","53457","0"
"31567","44982","53457","0"
"31909","44982","53457","0"
"31909","44853","53457","0"
"31909","44853","53422","0"
"31909","44853","53422","0"
"32050","44853","53422","0"
"32050","45629","53422","0"
"32050","45629","52734","0"
"32050","45629","52734","0"
"31819","45629","52734","0"
"31819","44400","52734","0"
"31819","44400","53054","0"
"31819","44400","53054","0"
"31854","44400","53054","0"
"31854","44198","53054","0"
"31854","44198","52776","0"
"31854","44198","52776","0"
"31889","44198","52776","0"
"31889","44471","52776","0"
"31889","44471","52962","0"
"31889","44471","52962","0"
"31914","44471","52962","0"
"31914","44234","52962","0"
"31914","44234","52718","0"
"31914","44234","52718","0"
"31796","44234","52718","0"
"31796","44233","52718","0"
"31796","44233","52797","0"
"31796","44233","52797","0"
"31821","44233","52797","0"
"31821","44190","52797","0"
"31821","44190","52860","0"
"31821","44190","52860","0"
"31899","44190","52860","0"
"31899","44588","52860","0"
"31899","44588","53021","0"
"31899","44588","53021","0"
"31931","44588","53021","0"
"31931","44312","53021","0"
"31931","44312","52628","0"
"31931","44312","52628","0"
"31926","44312","52628","0"
"31926","44348","52628","0"
"31926","44348","52614","0"
"31926","44348","52614","0"
"31910","44348","52614","0"
"31910","44291","52614","0"
"31910","44291","52665","0"
"31910","44291","52665","0"
"31946","44291","52665","0"
"31946","44259","52665","0"
"31946","44259","52565","0"
"31946","44259","52565","0"
"31970","44259","52565","0"
"31970","43874","52565","0"
"31970","43874","53062","0"
"31970","43874","53062","0"
"32125","43874","53062","0"
"32125","44115","53062","0"
"32125","44115","52604","0"
"32125","44115","52604","0"
"31952","44115","52604","0"
"31952","44329","52604","0"
"31952","44329","52580","0"
"31952","44329","52580","0"
"31914","44329","52580","0"
"31914","44341","52580","0"
"31914","44341","52628","0"
"31914","44341","52628","0"
"31887","44341","52628","0"
"31887","44342","52628","0"
"31887","44342","52625","0"
"31887","44342","52625","0"
"31889","44342","52625","0"
"31889","44357","52625","0"
"31889","44357","52628","0"
"31889","44357","52628","0"
"31945","44357","52628","0"
"31945","44310","52628","0"
"31945","44310","52822","0"
"31945","44310","52822","0"
"31949","44310","52822","0"
"31949","44088","52822","0"
"31949","44088","53684","0"
"31949","44088","53684","0"
"31976","44088","53684","0"
"31976","45487","53684","0"
"31976","45487","53092","0"
"31976","45487","53092","0"
"31510","45487","53092","0"
"31510","45778","53092","0"
"31510","45778","53515","0"
"31510","45778","53515","0"
"31517","45778","53515","0"
"31517","44795","53515","0"
"31517","44795","54004","0"
"31517","44795","54004","0"
"32096","44795","54004","0"
"32096","45337","54004","0"
"32096","45337","53097","0"
"32096","45337","53097","0"
"31896","45337","53097","0"
"31896","45005","53097","0"
"31896","45005","52790","0"
"31896","45005","52790","0"
"31897","45005","52790","0"
"31897","43880","52790","0"
"31897","43880","53064","0"
"31897","43880","53064","0"
"31889","43880","53064","0"
"31889","43982","53064","0"
"31889","43982","52997","0"
"31889","43982","52997","0"
"31776","43982","52997","0"
"31776","43624","52997","0"
"31776","43624","52986","0"
"31776","43624","52986","0"
"31839","43624","52986","0"
"31839","43520","52986","0"
"31839","43520","52758","0"
"31839","43520","52758","0"
"31963","43520","52758","0"
"31963","44099","52758","0"
"31963","44099","52802","0"
"31963","44099","52802","0"
"31949","44099","52802","0"
"31949","44169","52802","0"
"31949","44169","52785","0"
"31949","44169","52785","0"
"31930","44169","52785","0"
"31930","44068","52785","0"
"31930","44068","52833","0"
"31930","44068","52833","0"
"31931","44068","52833","0"
"31931","44595","52833","0"
"31931","44595","53052","0"
"31931","44595","53052","0"
"31774","44595","53052","0"
"31774","44055","53052","0"
"31774","44055","53012","0"
"31774","44055","53012","0"
"31739","44055","53012","0"
"31739","43014","53012","0"
"31739","43014","53010","0"
"31739","43014","53010","0"
"31928","43014","53010","0"
"31928","43788","53010","0"
"31928","43788","53149","0"
"31928","43788","53149","0"
"31852","43788","53149","0"
"31852","43969","53149","0"
"31852","43969","52982","0"
"31852","43969","52982","0"
"32033","43969","52982","0"
"32033","44387","52982","0"
"32033","44387","50732","0"
"32033","44387","50732","0"
"31959","44387","50732","0"
"31959","44507","50732","0"
"31959","44507","49923","0"
"31959","44507","49923","0"
"32021","44507","49923","0"
"32021","45166","49923","0"
"32021","45166","50374","0"
"32021","45166","50374","0"
"32209","45166","50374","0"
"32209","42989","50374","0"
"32209","42989","49688","0"
"32209","42989","49688","0"
"32104","42989","49688","0"
"32104","44068","49688","0"
"32104","44068","49974","0"
"32104","44068","49974","0"
"30919","44068","49974","0"
"30919","41980","49974","0"
"30919","41980","47162","0"
"30919","41980","47162","0"
"31376","41980","47162","0"
"31376","42436","47162","0"
"31376","42436","47648","0"
"31376","42436","47648","0"
"31427","42436","47648","0"
"31427","41910","47648","0"
"31427","41910","47544","0"
"31427","41910","47544","0"
"31179","41910","47544","0"
"31179","41959","47544","0"
"31179","41959","47628","0"
"31179","41959","47628","0"
"31482","41959","47628","0"
"31482","42331","47628","0"
"31482","42331","47489","0"
"31482","42331","47489","0"
"30927","42331","47489","0"
"30927","41946","47489","0"
"30927","41946","48583","0"
"30927","41946","48583","0"
"31480","41946","48583","0"
"31480","42120","48583","0"
"31480","42120","48280","0"
"31480","42120","48280","0"
"30871","42120","48280","0"
"30871","40800","48280","0"
"30871","40800","48317","0"
"30676","39364","49692","0"
"30676","39364","49692","0"
"30735","39364","49692","0"
"30735","39620","49692","0"
"30735","39620","49695","0"
"30735","39620","49695","0"
"30935","39620","49695","0"
"30935","39084","49695","0"
"30935","39084","49610","0"
"30935","39084","49610","0"
"31197","39084","49610","0"
"31197","38986","49610","0"
"31197","38986","50167","0"
"31197","38986","50167","0"
"31470","38986","50167","0"
"31470","39560","50167","0"
"31470","39560","50237","0"
"31470","39560","50237","0"
"31061","39560","50237","0"
"31061","39447","50237","0"
"31061","39447","51289","0"
"31061","39447","51289","0"
"31216","39447","51289","0"
"31216","39790","51289","0"
"31216","39790","51041","0"
"31216","39790","51041","0"
"31252","39790","51041","0"
"31252","39392","51041","0"
"31252","39392","51514","0"
"31252","39392","51514","0"
"31123","39392","51514","0"
"31123","40251","51514","0"
"31123","40251","51794","0"
"31123","40251","51794","0"
"31284","40251","51794","0"
"31284","40053","51794","0"
"31284","40053","52266","0"
"31284","40053","52266","0"
"31512","40053","52266","0"
"31512","40274","52266","0"
"31512","40274","51835","0"
