A,B,C,G,,,,,,,,,
47222,58162,74804,2,108.22,363.73,-128.10,57.20,,,,,
47222,58162,74830,2,108.22,363.73,-126.73,57.38,,,,,
47222,58162,74830,2,-44.45,349.54,-126.73,57.40,,,,,
47307,58162,74830,2,-47.71,344.35,-127.94,57.53,,,,,
47307,57336,74830,2,-48.07,338.81,-128.50,57.67,,,,,
47307,57336,75135,2,-50.17,331.31,-128.33,57.86,,,,,
47307,57336,75135,2,-34.85,326.89,-128.06,57.88,,,,,
47089,57336,75135,2,-28.35,324.17,-128.56,58.01,,,,,
47089,57232,75135,2,-21.83,321.59,-127.35,58.15,,,,,
47089,57232,75137,2,-14.93,317.89,-127.48,58.34,,,,,
47089,57232,75137,2,-5.77,316.27,-127.51,58.36,,,,,
47100,57232,75137,2,-1.50,314.69,-127.87,58.49,,,,,
47100,56243,75137,2,2.55,313.01,-128.09,58.63,,,,,
47100,56243,76726,2,7.54,311.39,-127.39,58.82,,,,,
47100,56243,76726,2,11.40,311.64,-127.41,58.84,,,,,
47635,56243,76726,2,13.55,311.32,-127.27,58.97,,,,,
47635,56831,76726,2,16.25,311.08,-126.72,59.11,,,,,
47635,56831,75024,2,19.82,310.53,-126.28,59.30,,,,,
47635,56831,75024,2,20.84,310.72,-126.25,59.32,,,,,
47399,56831,75024,2,22.22,310.63,-124.84,59.45,,,,,
47399,58020,75024,2,24.38,310.75,-124.01,59.59,,,,,
47399,58020,74034,2,25.03,311.73,-123.45,59.77,,,,,
47399,58020,74034,2,24.83,312.17,-123.33,59.80,,,,,
47570,58020,74034,2,25.15,311.92,-122.26,59.93,,,,,
47570,57369,74034,2,26.98,311.67,-120.70,60.07,,,,,
47570,57369,74524,2,28.09,311.10,-121.12,60.25,,,,,
47570,57369,74524,2,27.98,311.26,-121.06,60.28,,,,,
47505,57369,74524,2,28.02,310.87,-119.37,60.41,,,,,
47505,57441,74524,2,31.56,309.02,-120.67,60.55,,,,,
47505,57441,78494,2,28.14,306.96,-108.65,60.74,,,,,
47505,57441,78494,2,30.14,308.21,-106.92,60.77,,,,,
47414,57441,78494,2,29.82,309.04,-98.98,60.89,,,,,
47414,57176,78494,2,35.07,307.98,-91.87,61.04,,,,,
47414,57176,74933,2,28.07,312.04,-79.10,61.22,,,,,
47414,57176,74933,2,30.55,316.45,-77.53,61.25,,,,,
47739,57176,74933,2,28.59,319.01,-68.46,61.37,,,,,
47739,61203,74933,2,23.68,326.51,-58.21,61.53,,,,,
47739,61203,76009,2,23.76,338.19,-52.56,61.71,,,,,
47739,61203,76009,2,24.84,341.02,-51.50,61.74,,,,,
48625,61203,76009,2,21.50,346.99,-45.75,61.86,,,,,
48625,61442,76009,2,20.47,353.59,-41.38,62.02,,,,,
48625,61442,74199,2,14.82,360.68,-34.94,62.20,,,,,
48625,61442,74199,2,13.90,359.37,-34.43,62.22,,,,,
49846,61442,74199,2,13.90,359.37,-30.47,62.35,,,,,
49846,61019,74199,2,13.90,359.37,-23.18,62.51,,,,,
49846,61019,74822,2,13.90,359.37,-16.65,62.69,,,,,
49846,61019,74822,2,141.88,274.92,-15.65,62.71,,,,,
48226,61019,74822,2,211.17,198.97,-11.10,62.84,,,,,
48226,56601,74822,2,273.96,132.15,-5.69,62.99,,,,,
48226,56601,73354,2,330.06,69.30,0.54,63.16,,,,,
48226,56601,73354,2,337.95,50.25,1.54,63.19,,,,,
47695,56601,73354,2,369.27,106.24,3.08,63.32,,,,,
47695,55077,73354,2,369.27,106.24,1.94,63.46,,,,,
47695,55077,69040,2,369.27,106.24,2.63,63.63,,,,,
47695,55077,69040,2,369.27,106.24,2.80,63.65,,,,,
47330,55077,69040,2,369.27,106.24,3.28,63.78,,,,,
47330,54828,69040,2,369.27,106.24,3.50,63.92,,,,,
47330,54828,71333,2,369.27,106.24,2.75,64.09,,,,,
47330,54828,71333,2,369.27,106.24,2.89,64.12,,,,,
46930,54828,71333,2,369.27,106.24,2.64,64.24,,,,,
46930,56858,71333,2,369.27,106.24,2.12,64.38,,,,,
46930,56858,68523,2,369.27,106.24,1.94,64.55,,,,,
46930,56858,68523,2,369.27,106.24,1.60,64.58,,,,,
47637,56858,68523,2,369.27,106.24,1.44,64.70,,,,,
47637,56048,68523,2,369.27,106.24,-0.04,64.84,,,,,
47637,56048,68153,2,369.27,106.24,-7.06,65.01,,,,,
47637,56048,68153,2,369.27,106.24,-7.95,65.04,,,,,
47541,56048,68153,2,369.27,106.24,-9.57,65.16,,,,,
47541,55428,68153,2,369.27,106.24,-9.56,65.30,,,,,
47541,55428,68131,2,369.27,106.24,-20.13,65.47,,,,,
47541,55428,68131,2,369.27,106.24,-21.62,65.50,,,,,
47534,55428,68131,2,292.77,-2.82,-30.60,65.62,,,,,
47534,56090,68131,2,202.86,5.74,-36.98,65.77,,,,,
47534,56090,73129,2,137.95,12.37,-65.11,65.94,,,,,
47534,56090,73129,2,106.70,18.64,-69.03,65.97,,,,,
47753,56090,73129,2,71.64,16.82,-81.20,66.10,,,,,
47753,56659,73129,2,35.96,12.38,-86.23,66.24,,,,,
47753,56659,74492,2,11.78,11.25,-93.76,66.42,,,,,
47753,56659,74492,2,20.50,12.21,-94.52,66.45,,,,,
47630,56659,74492,2,9.14,8.53,-97.80,66.57,,,,,
47630,56470,74492,2,4.50,102.51,-100.96,66.72,,,,,
47630,56470,77758,2,7.33,200.74,-110.08,66.91,,,,,
47630,56470,77758,2,23.22,246.26,-111.48,66.93,,,,,
47629,56470,77758,2,20.79,287.78,-116.71,67.06,,,,,
47629,56255,77758,2,24.09,323.85,-124.90,67.20,,,,,
47629,56255,83307,2,32.87,361.20,-129.94,67.40,,,,,
47629,56255,83307,2,43.60,351.52,-130.90,67.43,,,,,
47401,56255,83307,2,46.45,356.88,-138.68,67.55,,,,,
47401,56251,83307,2,48.62,358.54,-148.38,67.70,,,,,
47401,56251,84535,2,49.23,358.11,-156.97,67.90,,,,,
47401,56251,84535,2,53.36,340.95,-157.83,67.92,,,,,
47432,56251,84535,2,52.91,336.20,-164.96,68.05,,,,,
47432,54215,84535,2,48.95,332.65,-169.36,68.19,,,,,
47432,54215,82908,2,44.61,324.42,-171.97,68.39,,,,,
47432,54215,82908,2,46.49,315.96,-172.28,68.41,,,,,
46976,54215,82908,2,44.14,312.14,-176.18,68.54,,,,,
46976,53730,82908,2,39.80,309.88,-178.33,68.68,,,,,
46976,53730,83936,2,33.49,310.76,-183.40,68.88,,,,,
46976,53730,83936,2,32.91,308.67,-183.79,68.90,,,,,
46655,53730,83936,2,27.02,306.10,-180.94,69.03,,,,,
46655,52377,83936,2,19.30,314.34,-183.48,69.16,,,,,
46655,52377,84485,2,5.71,309.35,-189.86,69.36,,,,,
46655,52377,84485,2,106.34,307.97,-189.89,69.39,,,,,
46575,52377,84485,2,90.17,321.97,-188.89,69.51,,,,,
46575,52640,84485,2,73.33,320.73,-187.01,69.65,,,,,
46575,52640,85486,2,37.64,300.99,-153.72,69.85,,,,,
46575,52640,85486,2,31.50,304.59,-150.78,69.88,,,,,
46566,52640,85486,2,24.59,310.81,-133.40,70.00,,,,,
46566,55255,85486,2,10.48,310.48,-98.38,70.15,,,,,
46566,55255,80804,2,-0.39,221.72,-75.49,70.34,,,,,
46566,55255,80804,2,4.62,158.11,-74.19,70.37,,,,,
47649,55255,80804,2,5.86,101.08,-61.14,70.49,,,,,
47649,55610,80804,2,8.07,66.08,-41.98,70.63,,,,,
47649,55610,74796,2,30.10,64.35,-32.14,70.81,,,,,
47649,55610,74796,2,25.08,58.84,-30.41,70.84,,,,,
47782,55610,74796,2,22.15,37.80,-28.90,70.97,,,,,
47782,56610,74796,2,20.79,18.49,-28.64,71.11,,,,,
47782,56610,68860,2,24.69,11.94,-22.00,71.28,,,,,
47782,56610,68860,2,24.16,23.09,-22.03,71.31,,,,,
48347,56610,68860,2,22.88,18.10,-21.28,71.43,,,,,
48347,56659,68860,2,21.17,18.80,-16.53,71.58,,,,,
48347,56659,74058,2,120.33,31.40,-5.79,71.76,,,,,
48347,56659,74058,2,176.64,45.13,-5.54,71.78,,,,,
48245,56659,74058,2,245.31,51.13,-5.25,71.91,,,,,
48245,56368,74058,2,293.09,48.39,-4.82,72.06,,,,,
48245,56368,76441,2,338.71,49.25,-2.48,72.24,,,,,
48245,56368,76441,2,336.47,56.77,-1.71,72.27,,,,,
48317,56368,76441,2,352.24,59.05,2.78,72.39,,,,,
48317,56494,76441,2,361.21,60.84,4.25,72.54,,,,,
48317,56494,73440,2,361.21,60.84,5.40,72.72,,,,,
48317,56494,73440,2,352.55,66.63,5.42,72.74,,,,,
48024,56494,73440,2,358.52,67.51,5.00,72.87,,,,,
48024,56020,73440,2,358.60,72.77,5.39,73.01,,,,,
48024,56020,75852,2,355.85,67.79,0.11,73.20,,,,,
48024,56020,75852,2,344.73,70.16,-0.44,73.22,,,,,
48253,56020,75852,2,347.44,71.34,-1.27,73.35,,,,,
48253,58098,75852,2,345.83,75.14,-1.67,73.50,,,,,
48253,58098,73312,2,346.74,78.20,-1.88,73.67,,,,,
48253,58098,73312,2,341.40,78.40,-1.80,73.70,,,,,
48328,58098,73312,2,338.56,78.45,-0.82,73.83,,,,,
48328,57984,73312,2,336.19,80.04,-1.49,73.98,,,,,
48328,57984,73975,2,335.85,83.32,-9.31,74.16,,,,,
48328,57984,73975,2,338.07,82.09,-9.97,74.18,,,,,
48429,57984,73975,2,251.58,79.24,-15.36,74.31,,,,,
48429,57735,73975,2,165.51,77.02,-18.04,74.46,,,,,
48429,57735,72673,2,92.95,77.73,-23.05,74.63,,,,,
48429,57735,72673,2,70.95,77.59,-24.00,74.66,,,,,
48373,57735,72673,2,28.36,81.16,-27.05,74.79,,,,,
48373,56502,72673,2,-13.13,65.50,-35.35,74.93,,,,,
48373,56502,75374,2,-28.21,61.29,-47.75,75.11,,,,,
48373,56502,75374,2,-11.56,62.22,-49.62,75.14,,,,,
48402,56502,75374,2,-8.72,57.33,-58.77,75.27,,,,,
48402,57456,75374,2,0.25,53.10,-76.35,75.41,,,,,
48402,57456,73233,2,9.50,52.03,-98.44,75.59,,,,,
48402,57456,73233,2,23.18,46.72,-102.56,75.62,,,,,
47605,57456,73233,2,31.07,131.13,-112.84,75.74,,,,,
47605,59476,73233,2,33.83,212.99,-128.33,75.89,,,,,
47605,59476,73800,2,33.96,270.13,-137.40,76.07,,,,,
47605,59476,73800,2,40.09,287.21,-138.77,76.10,,,,,
47489,59476,73800,2,42.42,314.98,-147.33,76.23,,,,,
47489,56664,73800,2,43.86,337.86,-149.30,76.37,,,,,
47489,56664,79233,2,45.10,356.11,-157.56,76.56,,,,,
47489,56664,79233,2,47.19,345.43,-158.54,76.59,,,,,
47681,56664,79233,2,47.44,354.67,-162.12,76.71,,,,,
47681,56055,79233,2,43.14,359.03,-167.24,76.86,,,,,
47681,56055,80481,2,43.14,359.03,-169.05,77.05,,,,,
47681,56055,80481,2,39.63,351.34,-169.38,77.07,,,,,
47498,56055,80481,2,36.31,350.07,-172.22,77.20,,,,,
47498,56053,80481,2,33.82,347.12,-170.93,77.34,,,,,
47498,56053,81976,2,30.81,346.09,-170.72,77.54,,,,,
47498,56053,81976,2,31.42,338.92,-170.97,77.57,,,,,
47055,56053,81976,2,31.06,334.48,-172.40,77.69,,,,,
47055,55944,81976,2,24.50,331.81,-174.37,77.83,,,,,
47055,55944,80378,2,21.43,329.06,-176.77,78.03,,,,,
47055,55944,80378,2,20.49,325.79,-176.97,78.05,,,,,
47322,55944,80378,2,19.06,324.82,-178.49,78.18,,,,,
47322,55895,80378,2,18.10,322.40,-179.26,78.32,,,,,
47322,55895,81349,2,15.07,316.75,-177.99,78.52,,,,,
47322,55895,81349,2,15.52,316.61,-177.96,78.54,,,,,
47538,55895,81349,2,14.36,313.91,-177.93,78.67,,,,,
47538,54300,81349,2,13.41,312.85,-179.09,78.81,,,,,
47538,54300,78635,2,11.34,313.61,-183.65,79.00,,,,,
47538,54300,78635,2,10.77,314.33,-184.03,79.02,,,,,
47276,54300,78635,2,10.12,315.74,-186.25,79.15,,,,,
47276,53566,78635,2,121.30,316.71,-177.63,79.29,,,,,
47276,53566,78665,2,99.51,315.20,-177.77,79.48,,,,,
47276,53566,78665,2,74.36,314.07,-177.34,79.50,,,,,
47421,53566,78665,2,56.90,310.57,-162.45,79.63,,,,,
47421,56363,78665,2,30.79,292.93,-142.33,79.77,,,,,
47421,56363,79317,2,15.92,303.86,-119.72,79.96,,,,,
47421,56363,79317,2,18.12,309.19,-116.62,79.99,,,,,
47269,56363,79317,2,4.94,314.03,-96.06,80.11,,,,,
47269,55973,79317,2,-4.50,327.22,-81.66,80.26,,,,,
47269,55973,75015,2,-18.83,342.84,-64.24,80.44,,,,,
47269,55973,75015,2,-11.85,347.48,-62.24,80.47,,,,,
48063,55973,75015,2,78.79,357.01,-46.78,80.59,,,,,
48063,55554,75015,2,78.79,357.01,-34.72,80.73,,,,,
48063,55554,74452,2,78.79,357.01,-23.65,80.91,,,,,
48063,55554,74452,2,78.79,357.01,-21.64,80.94,,,,,
47644,55554,74452,2,276.45,258.81,-18.29,81.07,,,,,
47644,56324,74452,2,336.04,276.20,-17.60,81.21,,,,,
47644,56324,74487,2,336.04,276.20,-23.57,81.39,,,,,
47644,56324,74487,2,336.04,276.20,-24.26,81.42,,,,,
47732,56324,74487,2,336.04,276.20,-28.66,81.54,,,,,
47732,55310,74487,2,336.04,276.20,-35.31,81.68,,,,,
47732,55310,72579,2,336.04,276.20,-34.65,81.86,,,,,
47732,55310,72579,2,336.04,276.20,-34.60,81.88,,,,,
47659,55310,72579,2,336.04,276.20,-35.49,82.01,,,,,
47659,55903,72579,2,336.04,276.20,-37.24,82.15,,,,,
47659,55903,73669,2,278.87,96.65,-39.57,82.33,,,,,
47659,55903,73669,2,202.70,80.38,-39.57,82.36,,,,,
47682,55903,73669,2,141.58,50.97,-37.93,82.48,,,,,
47682,56882,73669,2,87.33,30.66,-36.90,82.63,,,,,
47682,56882,67520,2,39.39,12.00,-37.09,82.80,,,,,
47682,56882,67520,2,26.92,22.64,-36.97,82.82,,,,,
47784,56882,67520,2,0.81,13.69,-37.30,82.95,,,,,
47784,56244,67520,2,-21.09,9.16,-36.34,83.09,,,,,
47784,56244,68362,2,-36.69,5.63,-37.82,83.26,,,,,
47784,56244,68362,2,-29.58,19.41,-37.69,83.29,,,,,
47805,56244,68362,2,-34.41,20.15,-37.70,83.41,,,,,
47805,56672,68362,2,-36.89,22.80,-38.69,83.56,,,,,
47805,56672,66226,2,-38.16,24.60,-37.88,83.72,,,,,
47805,56672,66226,2,-27.85,34.12,-37.70,83.75,,,,,
47806,56672,66226,2,-27.91,36.82,-37.42,83.87,,,,,
47806,56489,66226,2,-26.62,41.52,-37.02,84.02,,,,,
47806,56489,68860,2,-21.63,43.86,-36.68,84.19,,,,,
47806,56489,68860,2,-14.24,48.04,-36.68,84.21,,,,,
47855,56489,68860,2,-12.71,51.62,-36.30,84.34,,,,,
47855,56162,68860,2,-9.33,55.67,-37.17,84.48,,,,,
47855,56162,67605,2,-5.36,59.04,-36.88,84.65,,,,,
47855,56162,67605,2,-2.62,59.96,-36.91,84.67,,,,,
47973,56162,67605,2,-1.04,61.92,-37.45,84.80,,,,,
47973,56641,67605,2,1.36,63.24,-37.31,84.95,,,,,
47973,56641,68203,2,2.38,63.21,-37.18,85.11,,,,,
47973,56641,68203,2,2.83,63.02,-37.07,85.14,,,,,
47808,56641,68203,2,5.01,62.81,-38.06,85.27,,,,,
47808,56022,68203,2,14.62,62.50,-50.50,85.41,,,,,
47808,56022,67366,2,26.01,59.61,-62.10,85.58,,,,,
47808,56022,67366,2,31.66,59.17,-64.46,85.60,,,,,
47842,56022,67366,2,42.81,58.06,-77.19,85.73,,,,,
47842,56690,67366,2,50.57,58.70,-86.75,85.87,,,,,
47842,56690,68833,2,60.25,58.45,-96.71,86.04,,,,,
47842,56690,68833,2,62.07,55.11,-98.29,86.07,,,,,
47847,56690,68833,2,67.51,56.91,-104.92,86.19,,,,,
47847,55001,68833,2,74.40,61.29,-111.33,86.33,,,,,
47847,55001,69354,2,76.25,61.60,-116.05,86.51,,,,,
47847,55001,69354,2,74.91,57.58,-117.24,86.53,,,,,
47841,55001,69354,2,76.10,47.41,-114.27,86.66,,,,,
47841,56594,69354,2,75.46,25.65,-110.62,86.80,,,,,
47841,56594,73930,2,75.19,118.27,-109.49,86.98,,,,,
47841,56594,73930,2,73.86,88.87,-110.52,87.01,,,,,
48166,56594,73930,2,57.64,58.70,-82.95,87.14,,,,,
48166,57383,73930,2,25.07,39.83,-53.09,87.28,,,,,
48166,57383,68866,2,6.57,42.51,-37.44,87.45,,,,,
48166,57383,68866,2,3.77,40.68,-35.50,87.48,,,,,
47671,57383,68866,2,105.37,51.67,-31.20,87.60,,,,,
47671,55357,68866,2,100.04,68.25,-33.46,87.74,,,,,
47671,55357,67454,2,81.55,74.56,-36.24,87.91,,,,,
47671,55357,67454,2,64.09,72.66,-37.17,87.94,,,,,
48238,55357,67454,2,54.98,72.79,-41.67,88.06,,,,,
48238,56158,67454,2,46.50,73.67,-42.00,88.21,,,,,
48238,56158,66334,2,38.95,72.53,-42.09,88.37,,,,,
48238,56158,66334,2,33.79,72.81,-41.97,88.40,,,,,
47920,56158,66334,2,33.21,72.19,-41.40,88.52,,,,,
47920,56280,66334,2,28.69,64.86,-42.87,88.67,,,,,
47920,56280,69948,2,24.73,62.20,-43.85,88.84,,,,,
47920,56280,69948,2,25.12,63.91,-44.17,88.87,,,,,
47800,56280,69948,2,18.12,49.33,-44.63,88.99,,,,,
47800,56839,69948,2,3.24,28.09,-43.01,89.14,,,,,
47800,56839,70019,2,116.45,11.06,-42.18,89.31,,,,,
47800,56839,70019,2,86.99,15.76,-42.34,89.33,,,,,
47689,56839,70019,2,81.36,29.04,-45.09,89.46,,,,,
47689,56661,70019,2,64.51,31.27,-47.85,89.61,,,,,
47689,56661,71223,2,57.66,34.34,-54.23,89.78,,,,,
47689,56661,71223,2,46.88,34.39,-55.66,89.81,,,,,
47844,56661,71223,2,44.06,36.03,-63.77,89.93,,,,,
47844,56638,71223,2,48.57,37.88,-74.77,90.08,,,,,
47844,56638,74015,2,59.57,38.47,-92.33,90.26,,,,,
47844,56638,74015,2,58.38,34.50,-94.63,90.28,,,,,
47334,56638,74015,2,58.56,32.45,-100.20,90.41,,,,,
47334,56017,74015,2,58.11,29.59,-102.28,90.55,,,,,
47334,56017,75682,2,53.42,18.18,-98.13,90.73,,,,,
47334,56017,75682,2,56.06,15.26,-97.56,90.76,,,,,
47862,56017,75682,2,61.27,13.62,-106.09,90.89,,,,,
47862,55976,75682,2,74.66,110.88,-134.00,91.03,,,,,
47862,55976,76317,2,79.88,197.96,-143.76,91.21,,,,,
47862,55976,76317,2,78.69,232.52,-144.74,91.24,,,,,
48079,55976,76317,2,72.18,271.64,-143.11,91.37,,,,,
48079,56236,76317,2,68.63,302.05,-141.67,91.51,,,,,
48079,56236,74522,2,67.42,330.59,-144.22,91.69,,,,,
48079,56236,74522,2,68.77,326.21,-144.18,91.72,,,,,
47720,56236,74522,2,68.15,334.90,-141.16,91.85,,,,,
47720,55972,74522,2,66.09,338.38,-132.75,91.99,,,,,
47720,55972,76251,2,45.40,334.43,-116.13,92.17,,,,,
47720,55972,76251,2,51.35,329.19,-114.41,92.20,,,,,
47234,55972,76251,2,42.21,340.07,-99.42,92.32,,,,,
47234,56192,76251,2,28.56,248.63,-81.58,92.47,,,,,
47234,56192,74934,2,21.30,171.50,-57.06,92.65,,,,,
47234,56192,74934,2,26.93,128.57,-54.53,92.68,,,,,
47834,56192,74934,2,20.18,83.89,-43.81,92.80,,,,,
47834,55016,74934,2,16.96,54.99,-36.81,92.94,,,,,
47834,55016,73477,2,14.72,32.50,-27.94,93.12,,,,,
47834,55016,73477,2,13.28,31.29,-26.63,93.15,,,,,
48162,55016,73477,2,16.85,23.33,-23.75,93.28,,,,,
48162,56098,73477,2,20.21,15.21,-22.83,93.42,,,,,
48162,56098,74783,2,21.95,14.06,-20.29,93.60,,,,,
48162,56098,74783,2,17.88,22.24,-20.21,93.63,,,,,
49332,56098,74783,2,19.26,26.57,-20.68,93.76,,,,,
49332,56150,74783,2,24.29,27.95,-21.51,93.90,,,,,
49332,56150,70694,2,25.03,21.65,-21.37,94.07,,,,,
49332,56150,70694,2,22.39,30.17,-21.18,94.10,,,,,
47925,56150,70694,2,23.69,33.45,-20.10,94.22,,,,,
47925,56526,70694,2,25.67,38.79,-19.88,94.37,,,,,
47925,56526,72882,2,24.46,37.80,-20.97,94.55,,,,,
47925,56526,72882,2,23.15,43.46,-21.11,94.57,,,,,
47976,56526,72882,2,24.15,45.81,-22.57,94.70,,,,,
47976,54834,72882,2,26.36,47.96,-24.10,94.84,,,,,
47976,54834,68071,2,25.38,53.13,-24.42,95.01,,,,,
47976,54834,68071,2,25.56,55.69,-24.48,95.03,,,,,
47485,54834,68071,2,26.74,57.66,-24.67,95.16,,,,,
47485,56083,68071,2,26.47,56.25,-24.39,95.30,,,,,
47485,56083,67646,2,25.09,58.49,-24.56,95.47,,,,,
47485,56083,67646,2,24.72,58.91,-24.58,95.50,,,,,
47888,56083,67646,2,24.38,60.23,-24.86,95.62,,,,,
47888,56580,67646,2,25.39,61.76,-25.11,95.77,,,,,
47888,56580,68191,2,25.99,61.99,-25.47,95.93,,,,,
47888,56580,68191,2,26.22,61.45,-25.53,95.96,,,,,
47652,56580,68191,2,27.14,61.80,-25.49,96.09,,,,,
47652,56091,68191,2,27.19,61.21,-25.48,96.23,,,,,
47652,56091,67354,2,27.20,61.58,-25.74,96.40,,,,,
47652,56091,67354,2,27.29,61.24,-25.78,96.42,,,,,
47779,56091,67354,2,27.44,61.44,-25.42,96.55,,,,,
52317,56465,40806,3,339.62,11.29,1.39,5.74,,,,,
52317,56465,40806,3,241.88,11.22,1.34,5.77,,,,,
53188,56465,40806,3,290.86,12.64,2.02,5.91,,,,,
53188,56547,40806,3,329.58,13.67,2.27,6.05,,,,,
53188,56547,41227,3,234.57,13.30,2.59,6.17,,,,,
53188,56547,41227,3,170.67,12.97,2.62,6.19,,,,,
54672,56547,41227,3,220.23,14.35,2.93,6.33,,,,,
54672,55640,41227,3,150.89,14.51,2.13,6.47,,,,,
54672,55640,41339,3,208.14,15.35,1.49,6.59,,,,,
54672,55640,41339,3,247.45,14.97,1.40,6.61,,,,,
55307,55640,41339,3,184.06,15.47,1.77,6.75,,,,,
55307,56760,41339,3,233.94,14.72,1.84,6.90,,,,,
55307,56760,41030,3,275.00,13.93,1.79,7.01,,,,,
55307,56760,41030,3,298.04,13.88,1.83,7.04,,,,,
53722,56760,41030,3,228.61,13.50,3.38,7.18,,,,,
53722,61817,41030,3,159.35,13.19,3.46,7.33,,,,,
53722,61817,41819,3,103.23,13.77,3.33,7.45,,,,,
53722,61817,41819,3,73.97,13.81,3.29,7.47,,,,,
55911,61817,41819,3,134.65,13.90,3.65,7.61,,,,,
55911,67161,41819,3,84.70,13.49,3.92,7.78,,,,,
55911,67161,41363,3,158.79,12.95,4.64,7.89,,,,,
55911,67161,41363,3,210.07,12.93,4.76,7.92,,,,,
54938,67161,41363,3,256.29,13.03,5.33,8.06,,,,,
54938,67663,41363,3,301.24,12.87,6.24,8.23,,,,,
54938,67663,41928,3,219.27,13.34,6.39,8.34,,,,,
54938,67663,41928,3,163.34,13.37,6.26,8.37,,,,,
55785,67663,41928,3,209.66,15.24,7.71,8.51,,,,,
55785,67479,41928,3,257.45,20.54,9.16,8.68,,,,,
55785,67479,42191,3,183.48,27.71,8.21,8.79,,,,,
55785,67479,42191,3,228.00,27.49,7.92,8.82,,,,,
59261,67479,42191,3,269.51,31.46,6.92,8.97,,,,,
59261,67483,42191,3,196.67,35.81,3.59,9.13,,,,,
59261,67483,43308,3,138.54,38.22,-0.44,9.25,,,,,
59261,67483,43308,3,102.22,37.45,-1.53,9.28,,,,,
59210,67483,43308,3,54.78,44.98,-0.20,9.43,,,,,
59210,67851,43308,3,15.21,47.91,-1.84,9.59,,,,,
59210,67851,44358,3,-8.67,47.13,-2.49,9.71,,,,,
59210,67851,44358,3,-9.36,48.17,-2.65,9.74,,,,,
59864,67851,44358,3,-27.85,50.74,-1.94,9.89,,,,,
59864,67752,44358,3,-38.59,54.72,-2.36,10.06,,,,,
59864,67752,44680,3,72.22,49.96,-1.94,10.18,,,,,
59864,67752,44680,3,54.50,50.01,-2.01,10.20,,,,,
60837,67752,44680,3,39.29,48.63,-1.51,10.35,,,,,
60837,65968,44680,3,24.04,47.14,-1.35,10.52,,,,,
60837,65968,44623,3,13.34,47.38,-1.54,10.64,,,,,
60837,65968,44623,3,9.22,48.34,-1.55,10.66,,,,,
60864,65968,44623,3,2.40,47.25,-1.50,10.82,,,,,
60864,67468,44623,3,-3.29,49.32,-0.68,10.98,,,,,
60864,67468,44826,3,-5.47,49.73,-0.70,11.10,,,,,
60864,67468,44826,3,-3.62,50.32,-0.66,11.13,,,,,
61582,67468,44826,3,-5.28,51.28,-1.24,11.28,,,,,
61582,67770,44826,3,-6.07,52.49,-0.85,11.45,,,,,
61582,67770,44440,3,-4.66,53.41,-0.79,11.57,,,,,
61582,67770,44440,3,-2.90,53.50,-0.88,11.60,,,,,
59755,67770,44440,3,-4.22,50.82,-1.03,11.75,,,,,
59755,67742,44440,3,-2.56,53.41,-1.85,11.91,,,,,
59755,67742,44710,3,1.52,54.79,-4.79,12.03,,,,,
59755,67742,44710,3,3.12,55.14,-5.42,12.06,,,,,
58802,67742,44710,3,2.95,57.18,-5.44,12.21,,,,,
58802,67249,44710,3,6.15,55.63,-5.80,12.37,,,,,
58802,67249,44146,3,8.11,49.19,-5.50,12.49,,,,,
58802,67249,44146,3,8.79,47.73,-5.31,12.52,,,,,
56463,67249,44146,3,13.15,42.15,-5.01,12.66,,,,,
56463,67167,44146,3,5.43,32.03,-1.81,12.83,,,,,
56463,67167,43348,3,10.79,29.91,-3.48,12.95,,,,,
56463,67167,43348,3,10.96,31.57,-4.17,12.97,,,,,
55220,67167,43348,3,15.33,29.61,-8.02,13.11,,,,,
55220,60270,43348,3,22.44,31.29,-13.40,13.26,,,,,
55220,60270,44000,3,27.21,35.31,-17.81,13.38,,,,,
55220,60270,44000,3,27.42,35.16,-18.73,13.41,,,,,
55506,60270,44000,3,33.14,36.71,-23.98,13.55,,,,,
55506,64615,44000,3,38.28,35.95,-29.60,13.71,,,,,
55506,64615,44241,3,43.04,32.51,-34.71,13.83,,,,,
55506,64615,44241,3,42.66,31.12,-35.54,13.86,,,,,
57089,64615,44241,3,51.54,29.62,-43.39,14.00,,,,,
57089,67541,44241,3,58.91,26.44,-52.12,14.17,,,,,
57089,67541,44154,3,61.93,21.48,-56.88,14.29,,,,,
57089,67541,44154,3,61.00,18.63,-57.79,14.31,,,,,
56365,67541,44154,3,61.20,13.82,-60.15,14.46,,,,,
56365,61557,44154,3,57.56,8.10,-54.05,14.61,,,,,
56365,61557,44285,3,56.28,6.68,-53.74,14.73,,,,,
56365,61557,44285,3,57.32,6.42,-54.20,14.76,,,,,
56466,61557,44285,3,61.68,102.32,-60.41,14.90,,,,,
56466,67572,44285,3,64.83,191.11,-66.45,15.07,,,,,
56466,67572,44940,3,68.95,247.95,-71.17,15.19,,,,,
56466,67572,44940,3,69.01,271.52,-71.99,15.21,,,,,
55456,67572,44940,3,66.42,306.54,-69.07,15.36,,,,,
55456,65696,44940,3,61.75,341.94,-61.50,15.52,,,,,
55456,65696,45878,3,57.65,357.48,-56.09,15.64,,,,,
55456,65696,45878,3,56.18,355.11,-54.10,15.67,,,,,
55288,65696,45878,3,13.92,271.53,-19.77,15.81,,,,,
