A,B,C,G,,,,,,,,,
56620,43450,45303,0,63.34,101.72,-100.45,28.91,,,,,
56620,40854,45303,0,64.12,179.90,-104.87,29.02,,,,,
56620,40854,45621,0,64.38,242.57,-110.57,29.14,,,,,
56620,40854,45621,0,64.60,268.96,-111.90,29.17,,,,,
55180,40854,45621,0,66.51,310.93,-117.33,29.31,,,,,
55180,38576,45621,0,64.47,336.79,-120.75,29.42,,,,,
55180,38576,46551,0,65.44,358.46,-125.56,29.54,,,,,
55180,38576,46551,0,65.16,351.78,-126.76,29.57,,,,,
51219,38576,46551,0,65.47,365.78,-135.20,29.70,,,,,
51219,37408,46551,0,65.47,365.78,-141.03,29.81,,,,,
51219,37408,47294,0,65.47,365.78,-144.97,29.93,,,,,
51219,37408,47294,0,65.01,351.18,-146.13,29.96,,,,,
48066,37408,47294,0,60.89,350.78,-151.33,30.08,,,,,
48066,36839,47294,0,56.40,346.80,-154.33,30.19,,,,,
48066,36839,47850,0,48.88,338.45,-154.28,30.31,,,,,
48066,36839,47850,0,48.84,327.16,-154.14,30.34,,,,,
47195,36839,47850,0,47.09,324.85,-156.90,30.46,,,,,
47195,36699,47850,0,40.82,324.77,-159.66,30.57,,,,,
47195,36699,48121,0,34.75,323.20,-159.64,30.70,,,,,
47195,36699,48121,0,33.33,317.37,-159.39,30.72,,,,,
46133,36699,48121,0,31.00,314.46,-161.31,30.84,,,,,
46133,36788,48121,0,28.27,310.24,-162.66,30.95,,,,,
46133,36788,47750,0,24.10,308.25,-162.76,31.07,,,,,
46133,36788,47750,0,24.16,305.64,-162.68,31.10,,,,,
46152,36788,47750,0,20.21,302.43,-163.03,31.22,,,,,
46152,36879,47750,0,18.08,300.52,-162.90,31.33,,,,,
46152,36879,48140,0,18.66,297.68,-162.01,31.46,,,,,
46152,36879,48140,0,20.06,296.49,-161.74,31.48,,,,,
45955,36879,48140,0,19.26,298.32,-160.20,31.60,,,,,
45955,36751,48140,0,21.06,297.56,-159.82,31.71,,,,,
45955,36751,47974,0,22.41,297.47,-159.36,31.83,,,,,
45955,36751,47974,0,24.23,297.51,-159.31,31.86,,,,,
45965,36751,47974,0,27.75,298.03,-158.98,31.98,,,,,
45965,36650,47974,0,29.09,301.05,-158.37,32.09,,,,,
45965,36650,48072,0,29.47,299.22,-158.19,32.21,,,,,
45965,36650,48072,0,29.91,299.12,-158.14,32.24,,,,,
45717,36650,48072,0,29.88,298.39,-158.56,32.36,,,,,
45717,36809,48072,0,30.35,298.99,-158.64,32.47,,,,,
